name,mean,std,max,fractal_dimension,volume_fraction
14_050_400_group_1,2.58200296,1.349118365,6.751873016,2.633412073,0.66984
14_050_400_group_2,2.632874542,1.317664615,5.908147812,2.628003289,0.671991
14_100_000_group_1,2.144939497,0.902771295,4.176517963,2.668618423,0.622911
14_100_000_group_2,2.180678546,0.974497543,4.176517963,2.667830195,0.621486
14_100_050_group_1,2.139985438,0.917007123,4.176517963,2.673801649,0.611516
14_100_050_group_2,2.161009324,0.966001366,4.176517963,2.673207347,0.615619
14_100_100_group_1,2.155648922,0.978431317,4.246325493,2.673954198,0.604023
14_100_100_group_2,2.141334573,0.973580121,4.246325493,2.672665264,0.614626
14_100_150_group_1,2.216873177,0.984198733,4.071969986,2.668842691,0.60763
14_100_150_group_2,2.18364026,0.933987659,3.861995697,2.667937676,0.622527
14_100_200_group_1,2.522766525,1.187558842,5.50279808,2.636436743,0.640483
14_100_200_group_2,2.315489025,1.008385571,4.449180603,2.651480735,0.64917
14_100_250_group_1,2.694011253,1.202909978,5.461685181,2.605745879,0.681236
14_100_250_group_2,2.365812675,1.010232995,4.46457243,2.636258768,0.667494
14_100_300_group_1,2.655733635,1.188180945,5.143826008,2.610087509,0.687761
14_100_300_group_2,2.361617183,1.02405455,4.402683735,2.63978001,0.671158
